LIMIT_BAL,discrete(3)	SEX,discrete(3)	EDUCATION,discrete(3)	MARRIAGE,discrete(3)	AGE,discrete(3)	PAY_0,discrete(3)	PAY_2,discrete(3)	PAY_3,discrete(3)	PAY_4,discrete(3)	PAY_5,discrete(3)	PAY_6,discrete(3)	BILL_AMT1,discrete(3)	BILL_AMT2,discrete(3)	BILL_AMT3,discrete(3)	BILL_AMT4,discrete(3)	BILL_AMT5,discrete(3)	BILL_AMT6,discrete(3)	PAY_AMT1,discrete(3)	PAY_AMT2,discrete(3)	PAY_AMT3,discrete(3)	PAY_AMT4,discrete(3)	PAY_AMT5,discrete(3)	PAY_AMT6,discrete(3)	Default,discrete(3)
sample-26	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2
sample-27	0	1	2	1	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0
sample-28	0	1	2	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	2	0	0	0
sample-29	0	0	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0
sample-30	2	1	0	1	0	0	0	0	0	0	0	1	1	1	1	1	2	2	2	2	2	2	0	0
sample-31	0	0	1	1	1	2	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	2
sample-32	1	0	0	1	1	0	0	1	1	1	1	2	2	2	2	2	2	1	1	2	2	2	1	0
sample-33	2	1	1	0	2	0	0	0	0	0	0	1	0	1	1	2	1	2	2	2	2	1	2	0
sample-34	2	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	1	2	2	2	0	2	1	0
sample-35	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
sample-36	2	0	1	0	2	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-37	0	1	1	1	0	0	0	1	1	1	0	1	1	1	0	0	1	1	1	1	0	2	1	0
sample-38	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
sample-39	2	0	0	1	1	0	0	2	0	1	0	0	1	0	1	1	1	2	0	2	2	2	1	0
sample-40	2	0	0	1	1	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-41	0	1	0	1	0	0	0	1	1	1	1	2	2	2	2	2	2	1	2	2	1	1	1	0
sample-42	0	0	1	1	0	0	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	0	0
sample-43	1	1	1	0	1	0	0	1	1	1	1	2	2	2	2	2	2	1	1	1	2	2	1	0
sample-44	0	1	0	1	0	0	0	1	2	1	1	1	1	1	1	1	1	1	2	0	1	1	0	0
sample-45	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
sample-46	0	1	0	1	0	0	0	2	0	1	1	1	1	1	1	1	0	1	0	2	0	0	0	2
sample-47	1	1	2	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2
sample-48	2	0	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	2	2	2	2	2	2	0
sample-49	0	0	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0
sample-50	0	0	2	1	2	2	2	2	2	2	1	1	1	1	2	2	2	0	1	1	0	1	1	2
sample-51	1	1	2	2	2	0	0	1	1	1	1	2	2	1	2	2	2	1	1	1	1	1	1	0
sample-52	2	1	1	0	2	0	0	0	0	0	0	1	1	1	1	0	0	2	2	2	2	0	0	0
sample-53	1	1	0	1	0	2	2	1	1	1	1	1	1	1	2	2	2	0	1	1	1	1	1	0
sample-54	1	1	0	1	0	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	0
sample-55	2	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
sample-56	1	1	2	0	1	0	0	1	0	0	0	1	1	1	1	0	1	2	1	2	0	2	1	0
sample-57	1	1	1	0	1	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-58	1	1	0	1	1	0	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	1	0	0
sample-59	2	1	1	0	0	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-60	2	1	2	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	2
sample-61	0	0	1	0	1	0	0	1	1	1	0	2	2	2	1	1	0	2	1	0	1	1	0	0
sample-62	0	0	0	1	0	2	2	2	2	2	2	1	1	1	1	1	1	0	1	0	1	1	0	2
sample-63	0	1	1	0	2	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2
sample-64	1	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
sample-65	1	0	0	0	2	0	0	0	0	2	2	2	2	2	1	1	1	0	0	2	0	0	1	2
sample-66	0	0	1	0	2	2	2	2	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	2
sample-67	2	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0
sample-68	1	1	2	1	0	2	0	0	0	2	0	0	0	0	1	1	1	0	0	2	0	2	2	0
sample-69	0	0	2	1	0	2	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	0
sample-70	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample-71	2	0	1	1	0	2	2	2	2	2	2	2	2	2	2	2	2	1	1	0	2	1	1	2
sample-72	1	1	1	0	1	0	0	0	0	2	0	1	0	0	0	0	0	2	0	2	0	2	1	0
sample-73	2	1	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
sample-74	2	0	0	1	1	0	0	0	0	0	0	0	0	1	0	2	1	2	2	2	2	2	1	0
sample-75	0	0	1	1	0	0	0	2	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0
sample-76	0	0	2	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0
sample-77	2	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample-78	0	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	2
sample-79	2	1	1	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
sample-80	2	1	2	2	1	0	0	1	1	1	1	2	2	2	2	1	1	2	2	1	1	1	1	0
sample-81	2	1	0	1	0	0	0	1	1	1	0	1	1	1	1	2	0	2	1	2	2	0	1	0
sample-82	0	0	2	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	2
sample-83	2	1	1	0	2	0	0	2	1	1	1	2	2	2	2	2	2	2	0	2	1	2	1	0
sample-84	0	1	2	1	2	0	0	1	1	1	1	2	2	1	1	1	1	1	1	0	1	1	1	0
sample-85	1	0	1	1	1	0	0	1	1	1	1	2	2	2	2	2	2	2	1	2	2	2	2	0
sample-86	2	1	0	0	2	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
sample-87	1	1	1	1	1	0	0	1	1	1	0	0	0	0	1	1	0	0	1	1	0	1	1	0
sample-88	1	1	0	0	1	0	0	1	0	0	0	2	2	1	0	1	0	2	2	1	2	1	1	0
sample-89	0	0	2	1	2	2	2	1	1	1	2	1	1	1	1	1	1	0	1	0	1	0	1	0
sample-90	1	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
sample-91	2	1	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0
sample-92	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
sample-93	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0
sample-94	0	1	1	1	0	0	0	1	1	1	1	1	1	2	1	1	1	1	1	0	0	1	1	0
sample-95	1	0	1	1	1	0	0	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	0
sample-96	2	0	0	0	2	0	0	0	0	0	1	0	1	0	0	1	1	2	1	2	2	0	2	0
sample-97	1	0	0	1	0	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	1	1	0
sample-98	0	1	2	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
sample-99	0	0	1	0	1	0	0	1	1	1	0	1	1	1	1	1	0	1	1	0	1	0	0	2
sample-100	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0
sample-101	2	1	0	1	0	0	0	0	1	1	1	0	0	1	1	1	2	0	2	1	1	1	2	0
sample-102	2	0	0	0	2	0	0	1	2	2	1	2	2	2	2	2	2	2	2	2	0	2	2	0
sample-103	0	1	2	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
sample-104	0	1	1	1	0	2	2	2	2	2	1	2	2	2	2	2	2	0	2	1	0	1	1	0
sample-105	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0
sample-106	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	1	1	0
sample-107	2	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	2	2	0
sample-108	1	0	1	1	1	0	0	1	0	0	0	2	2	1	2	2	2	2	0	2	2	2	2	0
sample-109	2	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample-110	2	1	0	0	1	0	0	2	1	1	1	2	2	2	2	2	2	2	0	2	2	2	0	0
sample-111	0	0	2	0	2	0	0	2	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0
sample-112	2	0	1	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	0	2	0
sample-113	1	1	0	1	0	0	0	1	1	1	1	2	2	2	2	2	2	1	1	2	2	1	1	0
sample-114	0	0	1	1	2	0	0	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0
sample-115	0	0	0	1	0	0	2	1	1	2	2	1	1	1	1	1	1	0	1	1	0	1	1	2
sample-116	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
sample-117	0	0	1	1	0	2	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	2
sample-118	2	0	1	0	1	0	0	0	0	0	0	1	1	1	1	1	1	2	2	2	2	2	2	0
sample-119	2	1	1	1	1	0	0	1	1	0	0	2	2	2	2	0	0	1	1	1	1	1	0	0
sample-120	0	0	2	1	1	2	2	2	2	2	2	1	1	2	2	2	2	0	2	0	1	1	0	2
sample-121	2	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
sample-122	1	1	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample-123	2	1	1	0	1	2	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2
sample-124	0	0	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	0
sample-125	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample-126	1	0	2	1	2	0	0	1	1	1	1	2	2	2	2	2	2	1	1	2	2	2	2	0
sample-127	1	0	0	0	1	0	0	1	1	1	1	2	2	2	2	2	2	2	1	1	1	1	1	2
sample-128	0	0	1	0	2	0	0	1	1	1	1	0	0	0	0	1	1	0	0	1	1	1	0	2
sample-129	0	0	2	0	2	2	2	2	1	1	1	2	2	2	1	1	1	1	0	1	1	1	1	0
sample-130	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	1	1	2	1	0	2	2	2	0
sample-131	2	0	0	1	2	2	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	1	1	0
sample-132	2	0	1	0	1	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-133	2	0	2	0	2	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-134	0	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	1	0
sample-135	2	0	1	0	1	0	0	1	2	2	2	1	1	1	1	1	1	1	1	0	1	0	0	0
sample-136	1	0	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	0
sample-137	2	1	1	0	1	0	0	1	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0
sample-138	0	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2
sample-139	0	0	0	1	0	0	0	1	1	1	1	2	2	2	1	1	1	1	1	0	1	1	1	0
sample-140	2	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
sample-141	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
sample-142	0	0	1	1	0	2	2	2	2	1	1	1	1	1	1	1	1	0	2	0	1	1	0	0
sample-143	1	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	2	2	2	2	2	2	0
sample-144	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	2	0	1	2	0	0	0
sample-145	0	0	0	1	0	0	0	1	1	1	2	0	0	0	1	1	1	0	1	1	1	1	0	0
sample-146	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	2
sample-147	1	0	0	1	1	2	2	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-148	0	1	1	0	0	2	2	2	2	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0
sample-149	2	1	0	0	2	2	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	1	0	0
sample-150	1	0	1	0	1	0	0	1	1	2	1	2	2	2	2	2	2	1	1	2	0	1	1	0
sample-151	0	0	0	1	0	0	0	1	1	1	1	1	2	1	2	2	2	2	1	2	2	1	2	0
sample-152	2	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
sample-153	2	1	1	0	2	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-154	0	1	2	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0
sample-155	1	0	0	0	1	0	0	1	1	1	1	1	1	1	2	2	2	2	2	2	2	1	2	0
sample-156	1	1	0	1	1	0	0	1	1	1	1	2	2	2	2	2	2	2	1	2	2	2	2	0
sample-157	1	1	2	1	0	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-158	2	0	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
sample-159	0	0	2	0	2	2	2	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0
sample-160	0	0	0	1	2	2	2	2	2	2	1	1	1	1	1	1	1	1	0	1	0	1	1	0
sample-161	0	0	1	1	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0
sample-162	2	0	2	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample-163	2	1	0	0	1	0	0	2	1	1	1	2	2	2	2	2	2	2	0	2	2	2	2	0
sample-164	0	1	1	0	2	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
sample-165	1	1	0	1	0	0	0	1	1	1	1	2	2	2	2	2	2	2	2	1	1	1	1	0
sample-166	2	0	0	1	2	0	0	0	0	0	0	0	1	1	1	0	1	2	2	2	2	2	2	0
sample-167	1	0	1	0	0	0	2	2	1	1	1	2	2	2	1	1	0	1	0	1	1	0	2	0
sample-168	1	1	1	0	1	0	0	1	1	1	2	2	2	2	2	2	2	1	1	2	2	2	0	0
sample-169	0	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0
sample-170	2	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	0
sample-171	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	1	1	0
sample-172	0	1	1	1	0	0	0	1	1	1	1	1	1	1	1	0	1	2	0	0	0	2	2	0
sample-173	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
sample-174	2	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample-175	1	0	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2	0	0	2
sample-176	0	0	0	1	0	0	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	2	0	0
sample-177	0	0	1	1	0	2	2	1	1	1	2	2	2	2	1	1	1	0	1	0	1	0	1	0
sample-178	0	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0
sample-179	0	1	1	0	0	0	0	2	1	1	1	2	2	2	2	1	1	2	0	0	0	1	0	0
sample-180	2	0	0	1	1	0	0	2	1	1	0	1	1	1	1	1	0	2	0	1	0	1	2	0
sample-181	0	1	2	1	1	0	0	1	1	1	1	2	1	1	1	1	1	2	2	1	1	1	1	0
sample-182	2	1	0	0	2	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-183	0	1	1	0	0	0	0	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	2
sample-184	0	0	1	1	0	0	0	1	1	1	0	1	1	1	1	0	0	0	1	0	0	1	0	0
sample-185	1	1	1	0	1	2	2	1	1	2	1	1	1	1	1	1	1	0	1	1	0	1	1	2
sample-186	2	1	0	1	1	2	0	0	0	0	0	0	2	0	2	1	1	2	2	2	2	2	2	0
sample-187	1	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2
sample-188	1	1	1	0	1	2	0	1	1	1	1	0	0	1	1	1	1	2	2	2	0	1	1	0
sample-189	0	1	1	1	1	2	2	2	2	2	2	1	1	1	1	1	1	0	0	0	0	1	0	0
sample-190	2	0	0	1	1	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-191	0	1	0	1	0	2	0	1	1	2	1	1	1	1	1	1	1	0	1	1	0	1	1	2
sample-192	1	1	0	1	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	2	0	2	0
sample-193	1	1	0	1	0	0	0	2	1	1	0	1	1	1	1	0	0	2	0	0	0	0	0	0
sample-194	0	0	1	0	1	0	0	1	1	0	0	1	1	1	0	0	0	1	0	1	0	1	2	0
sample-195	0	1	0	1	0	2	2	2	2	2	2	1	1	1	1	2	2	1	1	1	1	1	0	2
sample-196	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
sample-197	0	1	0	1	0	0	0	1	1	0	1	1	1	1	1	1	1	1	0	0	2	0	1	0
sample-198	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	2	0
sample-199	0	1	2	1	0	2	2	2	1	1	1	1	1	1	1	0	0	0	0	1	0	0	0	2
sample-200	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample-201	1	0	0	1	1	0	0	2	1	1	2	1	1	1	1	1	1	2	0	1	2	0	1	0
sample-202	1	1	0	1	0	0	0	0	0	0	0	1	1	1	0	1	0	2	2	2	2	0	2	0
sample-203	1	0	1	1	0	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-204	2	1	1	0	2	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-205	0	0	2	0	2	0	0	1	1	1	1	0	1	1	1	1	1	2	1	1	1	2	1	0
sample-206	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
sample-207	2	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	2
sample-208	0	1	1	1	0	0	0	1	1	1	1	2	2	2	2	2	2	1	1	1	1	1	1	2
sample-209	2	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	2	1	1	0	1	0	0
sample-210	2	0	0	1	0	0	0	1	0	0	0	2	2	2	1	0	2	2	2	2	0	2	0	0
sample-211	2	1	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	2	2
sample-212	0	1	2	0	2	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
sample-213	0	0	1	1	1	0	0	1	2	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0
sample-214	2	0	1	1	0	2	2	2	2	1	1	2	2	2	2	2	2	2	2	0	2	2	2	0
sample-215	0	0	2	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0
sample-216	2	1	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
sample-217	0	0	1	1	1	2	0	1	1	1	1	2	2	2	2	2	2	1	1	2	1	2	1	0
sample-218	1	1	2	0	1	0	0	1	1	1	1	2	2	2	2	2	2	2	2	1	1	1	2	0
sample-219	2	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
sample-220	2	1	0	0	2	2	2	2	1	1	1	2	2	2	2	2	2	2	0	2	2	2	2	2
sample-221	2	1	2	1	2	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-222	2	1	1	1	1	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-223	2	1	1	1	1	0	0	1	1	1	1	2	2	2	2	2	2	2	2	1	1	2	2	0
sample-224	0	1	2	1	1	2	2	2	1	1	1	2	2	2	1	1	1	0	0	1	1	1	2	2
sample-225	1	1	0	1	0	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-226	2	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
sample-227	0	0	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0
sample-228	0	0	1	1	0	2	0	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	2
sample-229	0	1	2	1	0	2	2	1	1	1	1	1	1	1	1	0	0	0	1	0	0	0	2	0
sample-230	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	0
sample-231	0	0	1	1	0	2	2	1	1	2	1	1	1	1	1	1	1	0	0	0	0	1	2	2
sample-232	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	2	2	0	0	1	2	1	1	0
sample-233	1	0	1	1	1	2	0	1	1	2	2	2	2	2	2	2	2	2	2	2	0	2	1	2
sample-234	0	1	1	0	1	0	0	1	1	1	1	2	1	1	1	1	1	1	0	0	1	1	0	0
sample-235	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	2	2	1	1	2	1	0
sample-236	1	1	1	1	0	0	0	1	1	1	1	2	2	2	2	2	1	2	1	1	1	1	1	0
sample-237	2	1	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	2	1	2	0
sample-238	2	1	2	0	2	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2
sample-239	1	1	1	2	2	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
sample-240	0	1	0	1	0	2	2	2	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0
sample-241	0	0	0	1	1	0	0	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	0
sample-242	0	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0
sample-243	1	1	0	1	1	0	0	2	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
sample-244	0	1	0	1	2	0	0	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
sample-245	0	1	1	1	2	0	0	1	1	1	0	1	1	1	1	0	0	1	1	1	0	0	0	0
sample-246	2	1	1	0	2	0	0	0	0	0	0	2	0	0	0	0	0	1	1	1	2	1	1	0
sample-247	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	0	0
sample-248	2	0	0	1	0	0	0	1	1	2	1	1	1	2	2	2	1	1	2	2	0	1	1	0
sample-249	0	0	2	0	2	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0
sample-250	0	1	1	1	0	2	2	2	1	1	1	2	2	2	1	1	1	1	0	1	1	1	2	0
