"SEX,discrete(2)","EDUCATION,discrete(7)","MARRIAGE,discrete(4)","AGE,continuous","PAY_0,discrete(11)","PAY_2,discrete(11)","PAY_3,discrete(11)","PAY_4,discrete(11)","PAY_5,discrete(11)","PAY_6,discrete(11)","BILL_AMT1,continuous","BILL_AMT2,continuous","PAY_AMT1,continuous","PAY_AMT2,continuous","PAY_AMT4,continuous","Default,class(0,1)"
2.0,3.0,2.0,39.0,2.0,2.0,2.0,2.0,2.0,1.0,203938.0,97465.0,3000.0,1537.0,2000.0,0.0
2.0,2.0,1.0,39.0,1.0,1.0,1.0,1.0,1.0,1.0,165896.0,70093.0,316.0,316.0,632.0,1.0
2.0,2.0,2.0,26.0,4.0,2.0,2.0,4.0,4.0,4.0,206667.0,112222.0,2007.0,3582.0,3601.0,1.0
2.0,1.0,1.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,171092.0,89197.0,19428.0,1473.0,0.0,1.0
1.0,1.0,2.0,23.0,2.0,2.0,2.0,1.0,2.0,2.0,170324.0,76847.0,5757.0,0.0,1200.0,0.0
1.0,3.0,2.0,23.0,2.0,2.0,2.0,2.0,2.0,2.0,213200.0,111587.0,1973.0,1426.0,1432.0,0.0
1.0,1.0,2.0,27.0,3.0,0.0,1.0,1.0,1.0,1.0,165471.0,69352.0,0.0,1000.0,500.0,1.0
2.0,3.0,2.0,30.0,2.0,2.0,2.0,2.0,2.0,2.0,188121.0,85915.0,1300.0,1300.0,1500.0,0.0
2.0,3.0,1.0,47.0,1.0,1.0,1.0,1.0,1.0,1.0,166230.0,73192.0,3415.0,3421.0,30430.0,0.0
1.0,1.0,2.0,26.0,2.0,2.0,2.0,2.0,2.0,2.0,180909.0,86352.0,1500.0,1500.0,1000.0,0.0
2.0,1.0,2.0,27.0,1.0,1.0,1.0,1.0,1.0,1.0,182226.0,87042.0,17270.0,13281.0,14307.0,0.0
1.0,2.0,2.0,33.0,4.0,2.0,2.0,2.0,2.0,2.0,196098.0,99395.0,1718.0,1500.0,1000.0,1.0
1.0,1.0,2.0,32.0,2.0,2.0,2.0,2.0,2.0,2.0,258616.0,153848.0,3023.0,3511.0,3204.0,0.0
2.0,2.0,1.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,176509.0,73929.0,4152.0,22827.0,71439.0,0.0
1.0,1.0,1.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,179289.0,74783.0,5006.0,31178.0,0.0,0.0
1.0,1.0,2.0,30.0,1.0,1.0,0.0,0.0,0.0,1.0,195845.0,69646.0,131.0,396.0,565.0,0.0
1.0,2.0,1.0,40.0,2.0,2.0,2.0,2.0,2.0,2.0,352083.0,251105.0,8026.0,8060.0,6400.0,0.0
2.0,2.0,2.0,22.0,2.0,2.0,2.0,2.0,2.0,1.0,180634.0,79583.0,1500.0,1518.0,0.0,0.0
1.0,1.0,2.0,25.0,3.0,1.0,1.0,0.0,0.0,0.0,165580.0,70557.0,780.0,0.0,0.0,1.0
1.0,1.0,2.0,31.0,1.0,1.0,4.0,1.0,2.0,1.0,166078.0,78852.0,9075.0,0.0,8000.0,0.0
1.0,1.0,2.0,33.0,2.0,2.0,2.0,2.0,2.0,2.0,384248.0,291073.0,10000.0,7000.0,188840.0,0.0
2.0,1.0,2.0,25.0,2.0,2.0,2.0,2.0,2.0,2.0,233101.0,136776.0,3000.0,4500.0,2500.0,0.0
1.0,2.0,2.0,22.0,2.0,2.0,2.0,2.0,2.0,2.0,167457.0,72961.0,1500.0,2927.0,300.0,0.0
2.0,2.0,1.0,37.0,2.0,2.0,2.0,2.0,2.0,2.0,225084.0,131321.0,3000.0,3000.0,4000.0,0.0
2.0,1.0,2.0,30.0,2.0,2.0,2.0,4.0,2.0,2.0,184507.0,91072.0,3000.0,5000.0,2000.0,0.0
1.0,1.0,2.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,165580.0,69777.0,0.0,0.0,0.0,1.0
2.0,1.0,2.0,22.0,2.0,2.0,4.0,1.0,2.0,2.0,179608.0,86261.0,3000.0,0.0,334.0,1.0
2.0,5.0,2.0,46.0,2.0,2.0,1.0,2.0,2.0,0.0,170043.0,72811.0,1013.0,1170.0,0.0,1.0
1.0,2.0,2.0,32.0,1.0,1.0,1.0,1.0,1.0,1.0,187981.0,91317.0,21540.0,15138.0,11851.0,0.0
1.0,1.0,2.0,24.0,2.0,2.0,2.0,2.0,2.0,2.0,183027.0,88256.0,1318.0,1315.0,928.0,0.0
1.0,3.0,2.0,42.0,3.0,4.0,4.0,4.0,4.0,2.0,202622.0,105948.0,0.0,3100.0,0.0,1.0
2.0,3.0,3.0,43.0,2.0,2.0,2.0,2.0,2.0,2.0,227139.0,120940.0,2000.0,1606.0,2000.0,0.0
2.0,2.0,1.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,179045.0,77644.0,7875.0,7600.0,3544.0,0.0
2.0,1.0,2.0,25.0,3.0,4.0,2.0,2.0,2.0,2.0,206982.0,111519.0,1300.0,2010.0,1762.0,0.0
2.0,1.0,2.0,29.0,4.0,2.0,2.0,2.0,2.0,2.0,211804.0,104770.0,1600.0,1718.0,1500.0,0.0
2.0,1.0,1.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,167485.0,73417.0,3640.0,162.0,151.0,0.0
2.0,3.0,1.0,34.0,2.0,2.0,2.0,1.0,1.0,1.0,181966.0,85570.0,8500.0,1500.0,679.0,0.0
2.0,2.0,1.0,34.0,2.0,2.0,2.0,2.0,2.0,2.0,341466.0,243217.0,8083.0,7296.0,4814.0,0.0
2.0,1.0,2.0,34.0,1.0,5.0,4.0,4.0,4.0,4.0,167167.0,70875.0,0.0,0.0,0.0,0.0
2.0,2.0,1.0,29.0,2.0,2.0,2.0,2.0,2.0,2.0,565714.0,468634.0,17000.0,15029.0,12000.0,0.0
2.0,3.0,1.0,28.0,2.0,2.0,2.0,2.0,2.0,2.0,188428.0,93415.0,1516.0,1300.0,1000.0,1.0
1.0,2.0,1.0,39.0,2.0,2.0,2.0,2.0,2.0,1.0,236380.0,141837.0,4025.0,2095.0,2000.0,0.0
1.0,1.0,2.0,29.0,4.0,4.0,4.0,4.0,4.0,4.0,190567.0,94077.0,0.0,2700.0,2225.0,1.0
2.0,2.0,1.0,46.0,2.0,2.0,2.0,0.0,0.0,0.0,194298.0,98943.0,1000.0,0.0,0.0,1.0
2.0,2.0,1.0,51.0,1.0,1.0,0.0,0.0,1.0,1.0,165679.0,69777.0,0.0,0.0,2353.0,0.0
1.0,1.0,1.0,57.0,0.0,0.0,0.0,1.0,4.0,4.0,318099.0,218528.0,0.0,0.0,300.0,1.0
1.0,2.0,1.0,56.0,4.0,4.0,4.0,2.0,2.0,2.0,167677.0,73970.0,2300.0,0.0,200.0,1.0
2.0,1.0,2.0,30.0,4.0,1.0,1.0,1.0,1.0,1.0,165880.0,70077.0,300.0,1159.0,300.0,0.0
2.0,3.0,2.0,29.0,3.0,0.0,0.0,1.0,4.0,1.0,165390.0,59927.0,0.0,0.0,0.0,0.0
1.0,5.0,2.0,22.0,4.0,2.0,2.0,2.0,2.0,2.0,184145.0,86981.0,0.0,1200.0,500.0,0.0
1.0,1.0,2.0,31.0,1.0,1.0,1.0,1.0,1.0,1.0,166360.0,69777.0,0.0,390.0,390.0,0.0
1.0,2.0,2.0,29.0,4.0,4.0,4.0,4.0,4.0,4.0,223847.0,129023.0,2500.0,2500.0,4800.0,1.0
2.0,2.0,1.0,32.0,1.0,1.0,1.0,1.0,4.0,1.0,174656.0,75564.0,5818.0,15.0,17.0,0.0
2.0,1.0,2.0,37.0,3.0,0.0,1.0,1.0,1.0,1.0,165580.0,69777.0,0.0,3155.0,2359.0,0.0
1.0,1.0,2.0,32.0,1.0,1.0,1.0,1.0,1.0,1.0,168628.0,75327.0,5713.0,23453.0,80552.0,0.0
1.0,2.0,2.0,24.0,2.0,2.0,4.0,2.0,2.0,2.0,180199.0,86993.0,2850.0,0.0,630.0,0.0
1.0,3.0,2.0,25.0,1.0,2.0,2.0,2.0,2.0,2.0,208418.0,107002.0,1759.0,1779.0,500.0,0.0
2.0,1.0,1.0,45.0,1.0,1.0,1.0,1.0,1.0,1.0,165871.0,70068.0,291.0,291.0,291.0,0.0
2.0,2.0,2.0,22.0,2.0,2.0,2.0,2.0,2.0,2.0,193967.0,99389.0,1686.0,1400.0,3000.0,1.0
2.0,2.0,2.0,44.0,3.0,0.0,0.0,0.0,0.0,0.0,165580.0,69777.0,0.0,0.0,0.0,1.0
2.0,3.0,3.0,33.0,2.0,2.0,2.0,2.0,2.0,2.0,330834.0,227561.0,6400.0,7566.0,960.0,0.0
2.0,1.0,2.0,26.0,2.0,2.0,2.0,2.0,2.0,1.0,188991.0,97573.0,4796.0,3400.0,146900.0,0.0
1.0,3.0,2.0,30.0,2.0,2.0,2.0,2.0,2.0,2.0,191904.0,97248.0,1576.0,1213.0,768.0,1.0
2.0,2.0,1.0,44.0,2.0,2.0,4.0,2.0,2.0,2.0,297175.0,208837.0,10700.0,3.0,3000.0,0.0
2.0,3.0,2.0,49.0,2.0,2.0,2.0,2.0,2.0,2.0,214489.0,117640.0,1676.0,1302.0,699.0,0.0
1.0,2.0,2.0,33.0,2.0,2.0,2.0,2.0,2.0,2.0,295608.0,177585.0,4400.0,3547.0,4500.0,0.0
2.0,1.0,1.0,45.0,1.0,1.0,4.0,2.0,1.0,1.0,165970.0,70947.0,1170.0,0.0,390.0,1.0
2.0,2.0,2.0,32.0,2.0,2.0,2.0,2.0,2.0,1.0,169406.0,74528.0,1147.0,2000.0,0.0,0.0
2.0,1.0,1.0,35.0,2.0,2.0,2.0,1.0,1.0,1.0,246893.0,187643.0,40000.0,5000.0,7095.0,0.0
1.0,3.0,2.0,44.0,4.0,4.0,2.0,2.0,2.0,4.0,174163.0,78080.0,0.0,1651.0,2000.0,0.0
1.0,1.0,1.0,53.0,4.0,4.0,4.0,4.0,4.0,4.0,303760.0,210551.0,6300.0,5500.0,5500.0,1.0
2.0,1.0,2.0,39.0,1.0,1.0,1.0,2.0,2.0,0.0,173104.0,69777.0,0.0,3968.0,0.0,0.0
2.0,1.0,2.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,163580.0,75332.0,7555.0,0.0,0.0,0.0
2.0,2.0,1.0,37.0,1.0,1.0,1.0,1.0,1.0,0.0,166460.0,71379.0,1602.0,840.0,0.0,0.0
2.0,2.0,2.0,23.0,2.0,2.0,2.0,2.0,2.0,2.0,211228.0,116627.0,1937.0,1301.0,690.0,0.0
1.0,2.0,2.0,35.0,2.0,2.0,2.0,2.0,2.0,2.0,249305.0,155773.0,3621.0,3597.0,1112.0,0.0
1.0,1.0,1.0,43.0,1.0,1.0,1.0,1.0,1.0,2.0,169547.0,78099.0,8339.0,3394.0,27000.0,0.0
1.0,1.0,2.0,27.0,2.0,2.0,2.0,2.0,2.0,2.0,251589.0,155885.0,4031.0,10006.0,4040.0,0.0
2.0,3.0,1.0,22.0,2.0,2.0,2.0,2.0,2.0,2.0,184302.0,87937.0,1411.0,1194.0,281.0,0.0
1.0,2.0,1.0,38.0,2.0,2.0,2.0,2.0,2.0,1.0,183553.0,89144.0,1699.0,1460.0,1750.0,1.0
1.0,1.0,2.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,166252.0,79989.0,10212.0,850.0,100.0,0.0
2.0,1.0,2.0,30.0,0.0,0.0,1.0,2.0,2.0,2.0,165499.0,69474.0,223.0,33178.0,1197.0,0.0
1.0,1.0,1.0,63.0,2.0,2.0,2.0,4.0,4.0,2.0,587649.0,501119.0,16078.0,55693.0,0.0,0.0
2.0,3.0,2.0,22.0,2.0,2.0,2.0,2.0,2.0,2.0,210278.0,112031.0,1767.0,1362.0,840.0,1.0
2.0,2.0,2.0,26.0,4.0,4.0,4.0,4.0,4.0,2.0,222265.0,124985.0,0.0,5000.0,6.0,0.0
2.0,2.0,2.0,24.0,1.0,1.0,0.0,0.0,0.0,1.0,171160.0,69777.0,0.0,0.0,0.0,0.0
2.0,2.0,1.0,36.0,1.0,1.0,1.0,1.0,1.0,1.0,171688.0,72638.0,2861.0,3279.0,1150.0,0.0
1.0,1.0,2.0,52.0,1.0,1.0,1.0,1.0,1.0,1.0,166293.0,72049.0,2272.0,722.0,1150.0,0.0
1.0,2.0,2.0,38.0,2.0,2.0,2.0,1.0,1.0,1.0,337018.0,248159.0,10908.0,0.0,4566.0,0.0
1.0,2.0,1.0,35.0,3.0,0.0,0.0,0.0,0.0,0.0,165477.0,69674.0,0.0,0.0,0.0,0.0
2.0,1.0,1.0,31.0,2.0,2.0,4.0,2.0,2.0,2.0,271459.0,178208.0,9260.0,0.0,4100.0,0.0
1.0,3.0,1.0,47.0,2.0,2.0,4.0,2.0,2.0,2.0,178824.0,84499.0,2000.0,1000.0,1000.0,0.0
1.0,2.0,1.0,41.0,4.0,4.0,4.0,4.0,4.0,5.0,301253.0,208309.0,6500.0,0.0,14850.0,0.0
2.0,1.0,2.0,24.0,2.0,2.0,2.0,2.0,2.0,2.0,217708.0,122469.0,2000.0,2677.0,5080.0,0.0
1.0,2.0,2.0,41.0,2.0,2.0,2.0,2.0,2.0,2.0,184595.0,89071.0,1340.0,1305.0,718.0,0.0
1.0,1.0,2.0,24.0,1.0,4.0,2.0,2.0,5.0,4.0,183779.0,87395.0,0.0,1312.0,0.0,1.0
1.0,1.0,2.0,28.0,1.0,1.0,1.0,1.0,1.0,1.0,165906.0,70103.0,326.0,326.0,476.0,0.0
1.0,2.0,2.0,26.0,4.0,2.0,2.0,2.0,2.0,2.0,179609.0,85270.0,2000.0,1700.0,1000.0,1.0
1.0,2.0,1.0,34.0,1.0,1.0,1.0,1.0,1.0,1.0,185240.0,79443.0,9677.0,11867.0,14837.0,0.0
2.0,2.0,2.0,38.0,2.0,2.0,2.0,2.0,1.0,1.0,215834.0,121222.0,2000.0,3000.0,1307.0,0.0
1.0,3.0,2.0,37.0,4.0,4.0,4.0,5.0,4.0,4.0,211584.0,115753.0,1000.0,4035.0,1400.0,1.0
1.0,1.0,1.0,40.0,3.0,0.0,0.0,0.0,0.0,0.0,165580.0,69777.0,0.0,0.0,0.0,1.0
2.0,1.0,1.0,48.0,3.0,0.0,0.0,0.0,0.0,0.0,165580.0,69777.0,0.0,0.0,0.0,0.0
2.0,2.0,1.0,35.0,4.0,2.0,2.0,2.0,2.0,2.0,470571.0,381020.0,13019.0,11128.0,8599.0,1.0
1.0,1.0,2.0,27.0,2.0,2.0,2.0,2.0,2.0,2.0,184695.0,88739.0,1404.0,1130.0,861.0,0.0
1.0,2.0,2.0,23.0,3.0,0.0,0.0,0.0,0.0,0.0,165580.0,69777.0,0.0,0.0,0.0,0.0
1.0,3.0,2.0,52.0,2.0,2.0,2.0,2.0,2.0,2.0,275731.0,169307.0,3568.0,3585.0,3848.0,0.0
1.0,1.0,1.0,36.0,2.0,2.0,2.0,2.0,2.0,2.0,329316.0,186199.0,4655.0,2690.0,2142.0,1.0
1.0,2.0,1.0,51.0,2.0,2.0,2.0,2.0,2.0,2.0,168927.0,73676.0,1000.0,1066.0,1500.0,1.0
1.0,3.0,1.0,55.0,5.0,4.0,4.0,2.0,2.0,2.0,226101.0,131227.0,2504.0,7.0,1200.0,0.0
2.0,1.0,2.0,23.0,3.0,0.0,0.0,0.0,1.0,1.0,169580.0,75422.0,5645.0,3508.0,13771.0,0.0
1.0,1.0,2.0,41.0,3.0,1.0,1.0,2.0,2.0,1.0,165675.0,72399.0,2622.0,3301.0,360.0,0.0
1.0,2.0,1.0,34.0,2.0,2.0,2.0,2.0,2.0,2.0,419034.0,317520.0,9744.0,9553.0,7830.0,0.0
1.0,3.0,1.0,46.0,2.0,2.0,2.0,2.0,2.0,2.0,392969.0,298496.0,8210.0,8095.0,8175.0,0.0
2.0,2.0,2.0,22.0,2.0,2.0,2.0,2.0,2.0,2.0,194032.0,95922.0,2000.0,1400.0,500.0,0.0
1.0,2.0,1.0,34.0,2.0,2.0,2.0,4.0,4.0,4.0,176254.0,81812.0,1500.0,1800.0,1000.0,0.0
1.0,1.0,2.0,27.0,2.0,2.0,2.0,2.0,2.0,2.0,183024.0,89119.0,2500.0,3000.0,3000.0,0.0
2.0,2.0,1.0,33.0,2.0,2.0,2.0,2.0,2.0,2.0,172746.0,77774.0,1500.0,1500.0,500.0,0.0
2.0,3.0,1.0,51.0,1.0,1.0,1.0,1.0,0.0,0.0,166332.0,70077.0,300.0,5880.0,0.0,1.0
1.0,1.0,2.0,24.0,2.0,2.0,2.0,2.0,2.0,2.0,216381.0,119920.0,2360.0,1700.0,900.0,0.0
1.0,1.0,2.0,47.0,3.0,0.0,0.0,0.0,0.0,0.0,165580.0,69777.0,0.0,0.0,0.0,1.0
1.0,2.0,2.0,28.0,1.0,1.0,1.0,1.0,1.0,1.0,167412.0,69777.0,0.0,416.0,500.0,0.0
1.0,2.0,2.0,23.0,3.0,4.0,4.0,4.0,2.0,2.0,175711.0,80610.0,1000.0,10000.0,700.0,0.0
1.0,2.0,2.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,177739.0,79777.0,10000.0,10000.0,9983.0,0.0
1.0,1.0,2.0,29.0,1.0,1.0,1.0,1.0,2.0,1.0,166779.0,85363.0,15586.0,344.0,4702.0,0.0
1.0,1.0,2.0,28.0,2.0,2.0,2.0,2.0,2.0,5.0,170579.0,75690.0,1000.0,1500.0,1583.0,0.0
2.0,2.0,2.0,27.0,2.0,2.0,2.0,2.0,2.0,2.0,184849.0,90090.0,1661.0,1200.0,358.0,1.0
1.0,1.0,2.0,34.0,3.0,4.0,2.0,2.0,2.0,2.0,362816.0,245969.0,8000.0,5000.0,5000.0,0.0
2.0,2.0,1.0,23.0,3.0,4.0,5.0,4.0,2.0,2.0,174748.0,80299.0,1650.0,0.0,379.0,0.0
2.0,1.0,1.0,60.0,3.0,0.0,1.0,1.0,1.0,1.0,164480.0,68677.0,0.0,22500.0,969.0,0.0
1.0,2.0,1.0,32.0,2.0,2.0,2.0,2.0,4.0,2.0,252207.0,147919.0,3455.0,3110.0,0.0,0.0
1.0,1.0,2.0,25.0,2.0,2.0,2.0,2.0,2.0,2.0,208024.0,125521.0,30000.0,3000.0,8000.0,0.0
1.0,1.0,2.0,41.0,3.0,1.0,1.0,1.0,1.0,0.0,165788.0,72683.0,2906.0,1000.0,0.0,0.0
2.0,2.0,1.0,56.0,2.0,2.0,2.0,2.0,2.0,2.0,374355.0,252127.0,8042.0,6700.0,100000.0,0.0
2.0,3.0,2.0,26.0,2.0,2.0,2.0,2.0,2.0,2.0,174594.0,80183.0,1700.0,1500.0,1500.0,0.0
1.0,1.0,1.0,34.0,2.0,2.0,2.0,2.0,2.0,2.0,189524.0,97826.0,5000.0,5000.0,5000.0,0.0
2.0,1.0,2.0,37.0,2.0,2.0,2.0,2.0,2.0,2.0,271000.0,172647.0,4000.0,3250.0,3500.0,0.0
2.0,3.0,2.0,30.0,2.0,2.0,2.0,2.0,2.0,2.0,361611.0,265920.0,7300.0,7108.0,6200.0,0.0
1.0,3.0,1.0,45.0,4.0,5.0,6.0,6.0,7.0,8.0,281365.0,192681.0,10478.0,10478.0,11078.0,1.0
1.0,3.0,1.0,57.0,5.0,4.0,2.0,2.0,2.0,2.0,178434.0,82139.0,0.0,1600.0,500.0,0.0
1.0,1.0,2.0,41.0,4.0,4.0,4.0,4.0,4.0,2.0,189937.0,97230.0,3500.0,0.0,0.0,0.0
1.0,2.0,2.0,27.0,4.0,1.0,1.0,1.0,1.0,4.0,165970.0,70167.0,390.0,780.0,864.0,0.0
1.0,3.0,1.0,47.0,1.0,1.0,1.0,1.0,2.0,1.0,166814.0,70173.0,396.0,396.0,0.0,0.0
2.0,1.0,1.0,34.0,2.0,2.0,4.0,2.0,2.0,2.0,306803.0,226635.0,17994.0,0.0,5656.0,0.0
2.0,2.0,1.0,46.0,2.0,2.0,2.0,2.0,2.0,2.0,186728.0,93580.0,3000.0,1500.0,1000.0,0.0
2.0,1.0,2.0,27.0,2.0,2.0,2.0,2.0,2.0,2.0,267220.0,174572.0,5500.0,3900.0,2900.0,0.0
1.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,171673.0,84907.0,15383.0,8204.0,4792.0,0.0
1.0,2.0,1.0,27.0,1.0,4.0,4.0,2.0,2.0,2.0,267929.0,166624.0,3166.0,0.0,1398.0,0.0
2.0,2.0,1.0,35.0,2.0,2.0,2.0,2.0,2.0,4.0,237692.0,143631.0,3500.0,3500.0,10000.0,0.0
2.0,2.0,2.0,22.0,2.0,2.0,2.0,2.0,2.0,2.0,193620.0,98869.0,1510.0,1442.0,1017.0,0.0
1.0,2.0,2.0,37.0,2.0,2.0,2.0,2.0,2.0,2.0,203275.0,103174.0,5000.0,2000.0,4000.0,0.0
2.0,1.0,2.0,30.0,1.0,1.0,1.0,1.0,1.0,1.0,166268.0,73057.0,3288.0,0.0,2672.0,0.0
2.0,2.0,2.0,22.0,1.0,2.0,2.0,2.0,2.0,2.0,174147.0,85050.0,15000.0,1000.0,0.0,0.0
2.0,1.0,2.0,24.0,3.0,0.0,0.0,0.0,0.0,0.0,164871.0,69068.0,0.0,0.0,0.0,1.0
1.0,1.0,2.0,29.0,3.0,0.0,1.0,1.0,0.0,0.0,165580.0,69777.0,0.0,77.0,0.0,0.0
1.0,3.0,1.0,56.0,3.0,4.0,4.0,4.0,4.0,5.0,230197.0,135755.0,3000.0,3000.0,5500.0,1.0
1.0,1.0,2.0,30.0,0.0,1.0,2.0,2.0,2.0,2.0,171767.0,69877.0,504.0,500.0,500.0,0.0
1.0,2.0,2.0,30.0,3.0,4.0,2.0,2.0,2.0,4.0,214440.0,117578.0,0.0,1500.0,2000.0,0.0
2.0,2.0,2.0,22.0,2.0,2.0,2.0,2.0,2.0,2.0,181581.0,82399.0,1212.0,1201.0,1500.0,0.0
2.0,2.0,1.0,29.0,2.0,2.0,4.0,2.0,2.0,2.0,243463.0,151588.0,5800.0,1000.0,400.0,0.0
1.0,1.0,2.0,37.0,1.0,1.0,4.0,2.0,2.0,1.0,177792.0,96355.0,15000.0,0.0,0.0,0.0
2.0,3.0,2.0,35.0,2.0,1.0,2.0,2.0,2.0,2.0,215188.0,82189.0,12500.0,6500.0,2000.0,0.0
2.0,1.0,1.0,47.0,2.0,2.0,2.0,2.0,2.0,2.0,222002.0,180393.0,70010.0,30357.0,20000.0,0.0
2.0,2.0,1.0,24.0,2.0,2.0,2.0,2.0,2.0,2.0,223604.0,127668.0,2500.0,1600.0,1000.0,1.0
1.0,2.0,2.0,25.0,2.0,2.0,2.0,2.0,2.0,1.0,176222.0,81454.0,1200.0,1593.0,135.0,0.0
2.0,2.0,1.0,38.0,3.0,4.0,2.0,2.0,4.0,2.0,180063.0,83738.0,0.0,1600.0,0.0,1.0
2.0,1.0,2.0,32.0,3.0,1.0,1.0,1.0,1.0,1.0,168196.0,126854.0,57087.0,5295.0,13889.0,0.0
2.0,3.0,2.0,47.0,4.0,4.0,4.0,4.0,4.0,4.0,365016.0,272724.0,8214.0,7000.0,7134.0,1.0
2.0,2.0,1.0,34.0,3.0,1.0,2.0,2.0,2.0,2.0,165580.0,75173.0,5396.0,5000.0,501.0,0.0
2.0,2.0,2.0,31.0,3.0,7.0,6.0,6.0,5.0,4.0,187283.0,90864.0,0.0,1000.0,0.0,0.0
1.0,1.0,2.0,32.0,2.0,2.0,2.0,2.0,2.0,2.0,225481.0,131924.0,10020.0,6031.0,5028.0,0.0
2.0,1.0,2.0,27.0,4.0,2.0,2.0,2.0,4.0,2.0,185205.0,90124.0,1342.0,1664.0,0.0,1.0
2.0,1.0,2.0,29.0,1.0,1.0,1.0,0.0,1.0,2.0,176966.0,69976.0,199.0,0.0,17227.0,0.0
2.0,1.0,2.0,24.0,1.0,1.0,4.0,2.0,2.0,0.0,180250.0,91864.0,37867.0,0.0,0.0,0.0
1.0,2.0,1.0,36.0,2.0,2.0,2.0,2.0,1.0,1.0,213370.0,87891.0,2000.0,1000.0,500.0,0.0
2.0,1.0,2.0,24.0,3.0,4.0,4.0,4.0,4.0,4.0,201746.0,106965.0,1900.0,1400.0,1532.0,1.0
2.0,2.0,1.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,165580.0,69777.0,0.0,0.0,0.0,0.0
2.0,1.0,2.0,22.0,2.0,2.0,2.0,2.0,1.0,2.0,184133.0,89223.0,1500.0,1032.0,20000.0,0.0
2.0,1.0,1.0,34.0,0.0,0.0,0.0,1.0,1.0,1.0,165992.0,69915.0,138.0,2299.0,1206.0,0.0
